Country Name,Country Code,Year,Value,Value_EUR,Value_EUR_billions
Austria,AUT,1960,6650133914.547951,6184624540.529594,6.184624540529595
Austria,AUT,1961,7375454614.280467,6859172791.280835,6.859172791280836
Austria,AUT,1962,7823686765.350787,7276028691.776233,7.276028691776233
Austria,AUT,1963,8447136819.839663,7855837242.450887,7.855837242450887
Austria,AUT,1964,9249879078.757586,8602387543.244555,8.602387543244555
Austria,AUT,1965,10081145818.076052,9375465610.810728,9.375465610810728
Austria,AUT,1966,10982543233.368248,10213765207.03247,10.21376520703247
Austria,AUT,1967,11680319624.67278,10862697250.945684,10.862697250945685
Austria,AUT,1968,12549016578.695044,11670585418.186392,11.670585418186391
Austria,AUT,1969,13701141219.245855,12742061333.898645,12.742061333898645
Austria,AUT,1970,15373005557.02567,14296895168.033873,14.296895168033872
Austria,AUT,1971,17858486066.747437,16608392042.075117,16.608392042075117
Austria,AUT,1972,22059612476.93315,20515439603.547832,20.515439603547833
Austria,AUT,1973,29515467706.79598,27449384967.320263,27.449384967320263
Austria,AUT,1974,35189299911.660774,32726048917.84452,32.72604891784452
Austria,AUT,1975,40059206763.056015,37255062289.6421,37.2550622896421
Austria,AUT,1976,42959976221.52335,39952777886.01672,39.952777886016726
Austria,AUT,1977,51545758887.68629,47937555765.54825,47.93755576554825
Austria,AUT,1978,62052259073.24932,57708600938.12187,57.70860093812187
Austria,AUT,1979,73937296963.45857,68761686176.01648,68.76168617601648
Austria,AUT,1980,82058912997.23463,76314789087.4282,76.31478908742821
Austria,AUT,1981,71034228443.06204,66061832452.0477,66.0618324520477
Austria,AUT,1982,71275287569.57329,66286017439.70316,66.28601743970316
Austria,AUT,1983,72121016546.65237,67072545388.38671,67.07254538838671
Austria,AUT,1984,67985344886.871605,63226370744.790596,63.22637074479059
Austria,AUT,1985,69386774408.08725,64529700199.52115,64.52970019952114
Austria,AUT,1986,99036164939.1618,92103633393.42049,92.10363339342048
Austria,AUT,1987,124168442533.73969,115476651556.37791,115.47665155637792
Austria,AUT,1988,133339397080.12927,124005639284.52023,124.00563928452023
Austria,AUT,1989,133105805512.22047,123788399126.36505,123.78839912636505
Austria,AUT,1990,166463386179.35373,154810949146.79898,154.81094914679898
Austria,AUT,1991,173794177961.10782,161628585503.8303,161.6285855038303
Austria,AUT,1992,195078126721.7631,181422657851.2397,181.42265785123968
Austria,AUT,1993,190379720809.18015,177053140352.53754,177.05314035253753
Austria,AUT,1994,203535242741.83835,189287775749.90967,189.28777574990966
Austria,AUT,1995,241038283062.64505,224165603248.25992,224.1656032482599
Austria,AUT,1996,237250948791.26596,220643382375.87735,220.64338237587734
Austria,AUT,1997,212790348404.5552,197895024016.23636,197.89502401623636
Austria,AUT,1998,218259904401.9564,202981711093.81946,202.98171109381946
Austria,AUT,1999,217259147049.95413,202051006756.45737,202.05100675645735
Austria,AUT,2000,197289625479.9063,183479351696.31287,183.47935169631288
Austria,AUT,2001,197508773215.3231,183683159090.2505,183.68315909025048
Austria,AUT,2002,214394866675.2396,199387226007.97284,199.38722600797283
Austria,AUT,2003,262273631180.05435,243914476997.45056,243.91447699745055
